sir	SIR312
sis	SIS213
sit	SIT213
six	SIX213
ski	SKI321
sky	SKY213
sly	SLY213
sod	SOD321
sol	SOL321
son	SON321
sow	SOW213
soy	SOY213
spa	SPA321
spy	SPY213
sub	SUB231
sue	SUE231
sum	SUM231
sun	SUN231
sup	SUP231
tab	TAB312
tad	TAD312
tag	TAG312
tam	TAM312
tan	TAN312
tap	TAP312
tar	TAR312
tat	TAT213
tax	TAX213
tea	TEA321
ted	TED321
tee	TEE312
ten	TEN312
the	THE321
thy	THY213
tie	TIE321
tin	TIN312
tip	TIP312
tod	TOD321
toe	TOE321
tom	TOM321
ton	TON321
too	TOO312
top	TOP312
tor	TOR312
tot	TOT213
tow	TOW213
toy	TOY213
try	TRY213
tub	TUB231
tug	TUG231
two	TWO231
use	USE321
van	VAN312
vat	VAT312
vet	VET312
via	VIA321
vie	VIE321
vow	VOW213
wan	WAN312
war	WAR312
was	WAS312
wax	WAX213
way	WAY213
web	WEB321
wed	WED321
wee	WEE312
wet	WET312
who	WHO312
why	WHY213
wig	WIG321
win	WIN312
wis	WIS312
wit	WIT312
won	WON321
woo	WOO312
wow	WOW213
wry	WRY213
wye	WYE231
yen	YEN312
yep	YEP312
yes	YES312
yet	YET312
you	YOU312
zip	ZIP312
zoo	ZOO312
